larger_amount,delay_days,front_end_delay,indifference_amount,discount_factor,annual_rate,n_iterations,final_precision,timestamp
10,30.42,0,0.4931640625,0.04931640625,4812650510155918.0,10,0.009765625,2025-12-22T10:55:37.994792
10,91.26,0,1.1474609375,0.11474609375,5761.835669536115,10,0.009765625,2025-12-22T10:55:44.749937
10,182.52,0,0.2783203125,0.02783203125,1288.9394026004659,10,0.009765625,2025-12-22T10:55:50.691325
10,365.04,0,1.5478515625,0.15478515625,5.45924716143761,10,0.009765625,2025-12-22T10:55:56.629252
10,730.08,0,0.3271484375,0.03271484375,4.527722082514635,10,0.009765625,2025-12-22T10:56:01.032564
10,1095.1200000000001,0,0.1806640625,0.01806640625,2.8104746243004053,10,0.009765625,2025-12-22T10:56:05.435041
10,1460.16,0,0.7568359375,0.07568359375,0.9064211813968095,10,0.009765625,2025-12-22T10:56:10.351944
10,1825.2,0,0.3173828125,0.03173828125,0.9936571780874466,10,0.009765625,2025-12-22T10:56:15.728518
100,30.42,0,62.841796875,0.62841796875,262.4823795385972,10,0.09765625,2025-12-22T10:56:22.946844
100,91.26,0,70.263671875,0.70263671875,3.102130330000602,10,0.09765625,2025-12-22T10:56:28.085744
100,182.52,0,66.845703125,0.66845703125,1.2377660075911847,10,0.09765625,2025-12-22T10:56:32.879891
100,365.04,0,42.138671875,0.42138671875,1.3728923173171381,10,0.09765625,2025-12-22T10:56:37.128225
100,730.08,0,0.830078125,0.00830078125,9.973028497320465,10,0.09765625,2025-12-22T10:56:41.245818
100,1095.1200000000001,0,18.896484375,0.18896484375,0.7425285339879828,10,0.09765625,2025-12-22T10:56:45.706820
100,1460.16,0,22.216796875,0.22216796875,0.45650420144254444,10,0.09765625,2025-12-22T10:56:49.979087
100,1825.2,0,3.759765625,0.03759765625,0.9272436326480582,10,0.09765625,2025-12-22T10:56:54.382311
1000,30.42,0,629.39453125,0.62939453125,257.6187559756815,10,0.9765625,2025-12-22T10:56:59.707871
1000,91.26,0,30.76171875,0.03076171875,1115050.4175567525,10,0.9765625,2025-12-22T10:57:05.033381
1000,182.52,0,369.62890625,0.36962890625,6.317680097014907,10,0.9765625,2025-12-22T10:57:09.641862
1000,365.04,0,340.33203125,0.34033203125,1.9379600195047142,10,0.9765625,2025-12-22T10:57:14.863383
1000,730.08,0,115.72265625,0.11572265625,1.939270048948135,10,0.9765625,2025-12-22T10:57:19.868789
1000,1095.1200000000001,0,92.28515625,0.09228515625,1.2126781645761802,10,0.9765625,2025-12-22T10:57:25.206821
1000,1460.16,0,19.04296875,0.01904296875,1.6916538660441351,10,0.9765625,2025-12-22T10:57:30.327366
1000,1825.2,0,79.58984375,0.07958984375,0.6588395506794376,10,0.9765625,2025-12-22T10:57:34.626939
