larger_amount,delay_days,front_end_delay,indifference_amount,discount_factor,annual_rate,n_iterations,final_precision,timestamp
10,30.42,0,4.1845703125,0.41845703125,34648.10842836781,10,0.009765625,2025-12-22T12:14:00.901416
10,91.26,0,5.7666015625,0.57666015625,8.040978324372226,10,0.009765625,2025-12-22T12:14:06.844405
10,182.52,0,6.6455078125,0.66455078125,1.2641477323698793,10,0.009765625,2025-12-22T12:14:13.362630
10,365.04,0,5.4443359375,0.54443359375,0.836648931739715,10,0.009765625,2025-12-22T12:14:19.276326
10,730.08,0,3.1201171875,0.31201171875,0.7901393265942951,10,0.009765625,2025-12-22T12:14:26.525389
10,1095.1200000000001,0,3.1982421875,0.31982421875,0.4622157830019189,10,0.009765625,2025-12-22T12:14:32.920769
10,1460.16,0,2.6416015625,0.26416015625,0.3948173287965753,10,0.009765625,2025-12-22T12:14:38.867240
10,1825.2,0,0.3857421875,0.03857421875,0.9173861692281862,10,0.009765625,2025-12-22T12:14:44.704239
100,30.42,0,32.763671875,0.32763671875,652606.3541431354,10,0.09765625,2025-12-22T12:14:49.974942
100,91.26,0,53.955078125,0.53955078125,10.796501974218426,10,0.09765625,2025-12-22T12:14:56.016208
100,182.52,0,37.451171875,0.37451171875,6.128131449763519,10,0.09765625,2025-12-22T12:15:01.537484
100,365.04,0,50.439453125,0.50439453125,0.9824263482684106,10,0.09765625,2025-12-22T12:15:06.888577
100,730.08,0,28.857421875,0.28857421875,0.8614083768333998,10,0.09765625,2025-12-22T12:15:13.731843
100,1095.1200000000001,0,15.576171875,0.15576171875,0.8584473435675783,10,0.09765625,2025-12-22T12:15:19.804933
100,1460.16,0,10.986328125,0.10986328125,0.7368430830368584,10,0.09765625,2025-12-22T12:15:26.021029
100,1825.2,0,14.501953125,0.14501953125,0.47128335907220675,10,0.09765625,2025-12-22T12:15:31.681594
1000,30.42,0,485.83984375,0.48583984375,5775.572399632382,10,0.9765625,2025-12-22T12:15:38.647342
1000,91.26,0,398.92578125,0.39892578125,38.46904796210867,10,0.9765625,2025-12-22T12:15:45.543158
1000,182.52,0,764.16015625,0.76416015625,0.712401581376543,10,0.9765625,2025-12-22T12:15:51.208734
1000,365.04,0,565.91796875,0.56591796875,0.7669303225635906,10,0.9765625,2025-12-22T12:15:56.722507
1000,730.08,0,123.53515625,0.12353515625,1.8448210715600775,10,0.9765625,2025-12-22T12:16:02.728873
1000,1095.1200000000001,0,439.94140625,0.43994140625,0.31478688051835535,10,0.9765625,2025-12-22T12:16:11.370240
1000,1460.16,0,385.25390625,0.38525390625,0.26926378590281996,10,0.9765625,2025-12-22T12:16:17.324831
1000,1825.2,0,375.48828125,0.37548828125,0.21638596252696196,10,0.9765625,2025-12-22T12:16:22.954781
